Task_Start_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Predicted_Throughput (tasks/sec)
2024-01-01 00:00:00,30.446317825444908,4087.2173959635024,2241,14.263224650508516,2958.211627513667,417.0966651879328,0,Round-Robin,Static,6.171395937879736
2024-01-01 00:01:00,38.78179999116328,4131.606772702629,2278,6.787449519305166,3208.195140652324,494.8725433903567,1,Priority-Based,Dynamic,6.230503622738341
2024-01-01 00:02:00,36.756745120689146,3776.082585880956,963,13.580709121413614,3065.3674952422066,401.04833934323455,0,FCFS,Static,6.088793597042508
2024-01-01 00:03:00,38.842581770922855,3911.2193326919178,929,13.331553068336197,3024.6640632169588,207.8917286571628,0,FCFS,Static,6.092281404353095
2024-01-01 00:04:00,41.55373686577722,3848.564127150239,2918,13.267958923121814,3105.3308547318866,454.0036754999426,2,Priority-Based,Dynamic,6.2063883044113535
2024-01-01 00:05:00,42.31261751630165,4172.255222561514,2687,10.554219978526367,2695.549747685876,314.1481761620103,0,FCFS,Dynamic,6.188081589029455
2024-01-01 00:06:00,44.75457971944471,3898.99476918772,2426,14.655059989277476,3353.2612295813624,447.3533805551618,1,Priority-Based,Static,6.205943540982839
2024-01-01 00:07:00,31.84446907698836,4085.1073766456007,2920,6.798275125665969,3098.162100901546,87.79169782511806,2,Priority-Based,Static,6.210568560448238
2024-01-01 00:08:00,38.05464522183948,4082.177589888254,2450,7.456036420204452,3161.118956946919,244.4486928172621,2,Round-Robin,Static,6.220660120024733
2024-01-01 00:09:00,36.17423559636514,3936.489444446935,2587,8.076384960934185,3033.2572911900893,176.07178233460732,1,FCFS,Dynamic,6.162216644944585
2024-01-01 00:10:00,40.64842440494782,4354.053009980121,2274,5.123343627280908,2879.6129702985286,337.2270991129225,0,FCFS,Dynamic,6.224189914191981
2024-01-01 00:11:00,39.64542541349327,3931.3478252372174,2748,11.075017524849944,2790.981030073068,68.99874976227638,1,FCFS,Dynamic,6.142005212530733
2024-01-01 00:12:00,44.27202725060457,4017.778348049896,2220,13.20546997469621,3080.0538971440965,428.05409048595175,2,Priority-Based,Dynamic,6.215968218840761
2024-01-01 00:13:00,47.48967825689762,4144.982410407954,1241,11.124763993494248,3551.9152368265213,302.0640559093593,1,FCFS,Dynamic,6.222917229400547
2024-01-01 00:14:00,38.96660912002272,4062.104978710127,2750,11.620617445570955,2904.298635360048,108.45250727723226,0,FCFS,Dynamic,6.159139342759997
2024-01-01 00:15:00,36.686088963927176,4049.118373155931,2982,7.0294392062529045,3494.561069118693,202.796667986063,1,FCFS,Dynamic,6.231808782319792
2024-01-01 00:16:00,42.63166148926933,3741.2990540143737,2334,9.874467254260992,2668.0882606423747,360.6291209624028,0,FCFS,Static,6.099300269152281
2024-01-01 00:17:00,41.931966619681134,4193.870478878263,1799,10.02162457237792,3121.238947002884,126.5267416993776,0,FCFS,Static,6.1778922335178015
2024-01-01 00:18:00,38.2257455388569,4255.823683189232,2397,5.040022430001595,3112.272379279857,123.85311065100002,1,FCFS,Dynamic,6.21948656880283
2024-01-01 00:19:00,34.0210413593309,3689.047394263701,690,9.859738891817935,2835.463677413913,234.9552229902747,2,Round-Robin,Dynamic,6.06724965785561
