Task_Start_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
2024-01-01 00:00:00,46.264845175093384,3919.905168353607,2180,20.0,2794.456733332371,488.0025739200912,High,Priority-Based,Dynamic
2024-01-01 00:01:00,47.913641454066116,3945.3257656212254,1268,18.657448358350482,2881.8193237986006,279.17844503312875,Medium,FCFS,Dynamic
2024-01-01 00:02:00,37.46303494011293,3897.257047487571,1554,17.691236182292986,2940.0202615293697,342.68990523694714,Medium,Round-Robin,Static
2024-01-01 00:03:00,32.8296867855626,4193.720318416438,1131,15.702376141249582,2855.9564994855887,298.681691214922,Low,FCFS,Static
2024-01-01 00:04:00,32.1366631889737,3928.580422062524,2660,15.668488058983655,3208.1039964713655,54.669678826297186,Low,FCFS,Static
2024-01-01 00:05:00,32.10026148685459,4294.098763568133,765,12.77302813896922,2740.3148026226027,131.3734697766737,High,Priority-Based,Dynamic
2024-01-01 00:06:00,44.48970537604116,4246.733901807856,2529,20.0,2917.9516361397405,419.6969819144623,Medium,Priority-Based,Dynamic
2024-01-01 00:07:00,43.82105331092407,3722.040552268902,2539,17.750868633946457,2913.897024329982,455.00713247630875,High,Priority-Based,Dynamic
2024-01-01 00:08:00,42.939090937534424,4103.140815654887,1758,19.135262138776806,3291.022975293896,186.21749400421294,Medium,Round-Robin,Dynamic
2024-01-01 00:09:00,43.63753524166011,3826.3083124217933,2569,19.38722038534234,3259.757780591519,445.3544987250751,Medium,FCFS,Dynamic
2024-01-01 00:10:00,38.02797055217127,3818.313327723636,1107,15.767724685595965,2925.4541561355218,115.17899851837298,Medium,FCFS,Static
2024-01-01 00:11:00,38.093837853172765,3976.703890478505,2163,16.335959185663434,2863.1514897169186,421.55119711842775,Low,Round-Robin,Dynamic
2024-01-01 00:12:00,47.08216940083915,3874.8565502747533,1112,19.949734372117792,3104.4904910026607,203.0608057389202,Medium,FCFS,Static
2024-01-01 00:13:00,43.87329706251527,4223.262252585785,2730,18.44259573132413,3284.809670665451,446.3220364991395,Medium,FCFS,Dynamic
2024-01-01 00:14:00,43.69895187179795,4113.978229150093,2983,18.342138555930063,2902.5319603603557,201.70974581497146,Low,FCFS,Static
2024-01-01 00:15:00,34.11635943358698,4230.672661561004,1061,17.41399692502884,3081.8572284924885,187.30299200515753,High,Priority-Based,Static
2024-01-01 00:16:00,36.09830857169153,4060.109002818546,871,17.177808741187253,3006.700332245079,394.17043441674053,Low,FCFS,Static
2024-01-01 00:17:00,34.482579242770356,4113.470773583831,1483,15.081298912078063,2831.714223094167,188.33871552203323,High,Round-Robin,Dynamic
2024-01-01 00:18:00,43.839876392661495,3873.059660274425,2087,18.990101380723054,2785.5006074122907,388.1757310299246,High,Priority-Based,Static
2024-01-01 00:19:00,33.56002757253125,3937.1104554672033,1365,15.132920504293045,3040.8251832153346,388.78585196721093,Low,FCFS,Dynamic
